com.samsung.shealth.activity.day_summary,6305105,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,4898,,3171830,,0,,2019-10-23 06:35:19.209,,2019-10-22 04:00:00.133,,,,60,180000,86,,,,3651.2607,,271.7543,870c6015-6ade-40ef-bb9a-4f773d91ff57.extra_data.json,rkSVQ0chfP,37200,com.sec.android.app.shealth,3134630,28560000,870c6015-6ade-40ef-bb9a-4f773d91ff57,2019-10-22 00:00:00.000,
,,,,3638,,2342830,,0,,2019-10-20 03:15:00.736,,2019-10-19 07:00:00.662,,,,60,180000,63,,,,2657.6045,,201.21272,c26e40be-bbbc-440d-a290-d302a9f87241.extra_data.json,rkSVQ0chfP,22000,com.sec.android.app.shealth,2320830,13620000,c26e40be-bbbc-440d-a290-d302a9f87241,2019-10-19 00:00:00.000,
,,,,0,,0,,0,,2019-10-10 02:46:23.346,,2019-10-10 02:46:23.346,,,,-1,0,0,,,,0.0,,0.0,d08f63f7-3dc4-4839-9a53-9f7776859602.extra_data.json,rkSVQ0chfP,0,com.sec.android.app.shealth,0,-1,d08f63f7-3dc4-4839-9a53-9f7776859602,2019-09-23 00:00:00.000,
,,,,4809,,3186087,,0,,2019-10-29 07:55:39.534,,2019-10-28 07:00:00.414,,,,60,60000,86,,,,3296.719,,249.53975,46990f37-c28a-450a-adc3-2471be5661ef.extra_data.json,rkSVQ0chfP,17200,com.sec.android.app.shealth,3168887,10080000,46990f37-c28a-450a-adc3-2471be5661ef,2019-10-28 00:00:00.000,
,,,,3277,,2184795,,0,,2019-11-03 06:15:21.926,,2019-11-02 07:00:01.738,,,,60,120000,60,,,,2245.0723,,168.94226,def2ef35-06a1-4a13-a17a-d50e51d6b592.extra_data.json,rkSVQ0chfP,400,com.sec.android.app.shealth,2184395,15480000,def2ef35-06a1-4a13-a17a-d50e51d6b592,2019-11-02 00:00:00.000,
,,,,3639,,2370397,,0,,2019-10-16 06:35:29.918,,2019-10-15 04:39:13.890,,,,60,120000,65,,,,2904.9187,,224.39421,918b92be-8022-499f-9f69-8c5cd65e5ddd.extra_data.json,rkSVQ0chfP,62000,com.sec.android.app.shealth,2308397,15300000,918b92be-8022-499f-9f69-8c5cd65e5ddd,2019-10-15 00:00:00.000,
,,,,6923,,4654158,,0,,2019-11-08 08:55:12.834,,2019-11-07 07:00:00.889,,,,60,851840,128,,,,4940.1196,,363.82568,5eee8f9f-ca42-4c85-b150-d01805614ea8.extra_data.json,rkSVQ0chfP,17200,com.sec.android.app.shealth,4636958,24480000,5eee8f9f-ca42-4c85-b150-d01805614ea8,2019-11-07 00:00:00.000,
,,,,0,,0,,0,,2019-10-10 02:46:23.498,,2019-10-10 02:46:23.498,,,,-1,0,0,,,,0.0,,0.0,10a270ee-1165-4ae1-a225-d3333c417b12.extra_data.json,rkSVQ0chfP,0,com.sec.android.app.shealth,0,-1,10a270ee-1165-4ae1-a225-d3333c417b12,2019-09-25 00:00:00.000,
,,,,2566,,1682393,,0,,2019-11-04 08:37:24.153,,2019-11-03 07:00:00.574,,,,60,60000,45,,,,1745.0303,,131.26822,ced38304-4438-4757-a6c4-df6e2e11e99b.extra_data.json,rkSVQ0chfP,2400,com.sec.android.app.shealth,1679993,19800000,ced38304-4438-4757-a6c4-df6e2e11e99b,2019-11-03 00:00:00.000,
,,,,0,,0,,0,,2019-10-10 02:46:23.080,,2019-10-10 02:46:23.080,,,,-1,0,0,,,,0.0,,0.0,fc6b102a-15ef-40ff-af86-35df0e0747b5.extra_data.json,rkSVQ0chfP,0,com.sec.android.app.shealth,0,-1,fc6b102a-15ef-40ff-af86-35df0e0747b5,2019-09-20 00:00:00.000,
