com.samsung.shealth.tracker.floors_day_summary,6305105,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
62810050,,62810050,2024-10-23 16:51:13.162,2024-10-23 16:51:13.162,2,1,6+THe69Q8P,com.sec.android.app.shealth,d0b03464-db7f-445f-a027-008f7c4cf3aa,1571788800000,
62810050,,62810050,2024-10-23 16:51:13.166,2024-10-23 16:51:13.166,1,1,6+THe69Q8P,com.sec.android.app.shealth,ca11154e-a6cf-4130-b53e-7c2c460aba15,1687737600000,
62810050,,62810050,2024-10-23 16:51:13.170,2024-10-23 16:51:13.170,3,1,6+THe69Q8P,com.sec.android.app.shealth,a0f79bbd-a06a-405f-a511-ef394d2d8b5c,1588550400000,
62810050,,62810050,2024-10-23 16:51:13.173,2024-10-23 16:51:13.173,2,1,6+THe69Q8P,com.sec.android.app.shealth,aab35573-1dbd-4689-893b-fee988518058,1585094400000,
62810050,,62810050,2024-10-23 16:51:13.177,2024-10-23 16:51:13.177,20,1,6+THe69Q8P,com.sec.android.app.shealth,f87a030c-f34f-43b9-a6d8-e351402e599f,1590796800000,
62810050,,62810050,2024-10-23 16:51:13.181,2024-10-23 16:51:13.181,1,1,6+THe69Q8P,com.sec.android.app.shealth,3cb1f301-c25d-41ef-84fe-439afda1a9ee,1623110400000,
62810050,,62810050,2024-10-23 16:51:13.184,2024-10-23 16:51:13.184,8,1,6+THe69Q8P,com.sec.android.app.shealth,834c89fe-36a8-41f8-9fc0-59a25f980f25,1667606400000,
62810050,,62810050,2024-10-23 16:51:13.188,2024-10-23 16:51:13.188,1,1,6+THe69Q8P,com.sec.android.app.shealth,d61e6c5b-2f5f-492f-8dbb-6b89a37cc70f,1587340800000,
62810050,,62810050,2024-10-23 16:51:13.192,2024-10-23 16:51:13.192,3,1,6+THe69Q8P,com.sec.android.app.shealth,2d4ed64f-9bf6-46f2-bb2e-02c00cacca8e,1613865600000,
62810050,,62810050,2024-10-23 16:51:13.195,2024-10-23 16:51:13.195,3,1,6+THe69Q8P,com.sec.android.app.shealth,853c723f-fe1c-407f-85e8-53284155470d,1713744000000,
62810050,,62810050,2024-10-23 16:51:13.198,2024-10-23 16:51:13.198,2,1,6+THe69Q8P,com.sec.android.app.shealth,4693c1a4-add9-4933-98b3-90668b85b642,1572393600000,
62810050,,62810050,2024-10-23 16:51:13.202,2024-10-23 16:51:13.202,6,1,6+THe69Q8P,com.sec.android.app.shealth,64bdb346-8192-4bf8-a201-03cf65a29303,1653782400000,
62810050,,62810050,2024-10-23 16:51:13.206,2024-10-23 16:51:13.206,9,1,6+THe69Q8P,com.sec.android.app.shealth,f255ef94-ba92-4dbe-a945-00f49fa59477,1588464000000,
62810050,,62810050,2024-10-23 16:51:13.209,2024-10-23 16:51:13.209,7,1,6+THe69Q8P,com.sec.android.app.shealth,3411b8cd-d3ae-4e59-b091-7c6f9eb64e49,1590192000000,
62810050,,62810050,2024-10-23 16:51:13.212,2024-10-23 16:51:13.212,4,1,6+THe69Q8P,com.sec.android.app.shealth,74fd8378-b266-4caa-bafd-4ed542492a3c,1585008000000,
62810050,,62810050,2024-10-23 16:51:13.216,2024-10-23 16:51:13.216,2,1,6+THe69Q8P,com.sec.android.app.shealth,6afa0443-f736-43ef-94b2-e6c33de72653,1652659200000,
62810050,,62810050,2024-10-23 16:51:13.219,2024-10-23 16:51:13.219,2,1,6+THe69Q8P,com.sec.android.app.shealth,c31a7cd5-65d8-4b19-b97e-e690923a3118,1594252800000,
62810050,,62810050,2024-10-23 16:51:13.222,2024-10-23 16:51:13.222,2,1,6+THe69Q8P,com.sec.android.app.shealth,daa74b9a-6197-45f7-9ef6-4befcc4a7b4f,1571702400000,
