com.samsung.shealth.tracker.pedometer_step_count,6305105,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
18733,4,0,36,2025-09-14 03:18:00.000,,,2025-09-14 03:35:01.434,2025-09-14 03:35:01.434,36,1.5,28.1,1.11,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 03:19:00.000,9202b7cf-bb0b-4630-b36b-1f5cdab301ee,
8072,4,0,15,2025-09-14 03:41:00.000,,,2025-09-14 03:55:01.522,2025-09-14 03:55:01.522,15,1.4444444,11.66,0.48,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 03:42:00.000,763d90df-f0f3-4a89-bc69-881a7ba668f8,
8647,4,0,15,2025-09-14 03:55:00.000,,,2025-09-14 04:11:52.389,2025-09-14 04:11:52.389,15,1.3611113,11.77,0.48,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 03:56:00.000,97742a29-99f8-48c1-a089-ed33f60b835a,
48124,4,0,88,2025-09-14 03:56:00.000,,,2025-09-14 04:11:52.415,2025-09-14 04:11:52.415,88,1.3888888,66.84,2.69,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 03:57:00.000,a98c1737-22fc-4a77-8adf-e7cfa2ff13bd,
8902,4,0,14,2025-09-14 04:09:00.000,,,2025-09-14 04:11:52.443,2025-09-14 04:11:52.443,14,1.3333334,11.87,0.56,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 04:10:00.000,a3251043-64ee-4fa6-b639-a4f254fbbaf8,
23195,4,0,38,2025-09-14 04:10:00.000,,,2025-09-14 04:11:52.474,2025-09-14 04:11:52.474,38,1.2222222,28.35,1.16,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 04:11:00.000,9e1413ab-76e9-450d-86a3-c8713404774f,
17716,4,5,21,2025-09-14 04:11:00.000,,,2025-09-14 04:11:52.507,2025-09-14 04:11:52.507,26,1.8333334,32.48,1.77,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 04:12:00.000,c55d064e-c532-4249-923a-b294e1703cf8,
37850,4,0,70,2025-09-14 04:13:00.000,,,2025-09-14 04:13:47.199,2025-09-14 04:13:47.199,70,1.3888888,52.57,2.18,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 04:14:00.000,63a53e47-8104-4779-9298-bf98490f00f9,
4319,4,0,7,2025-09-14 04:15:00.000,,,2025-09-14 04:22:25.566,2025-09-14 04:22:25.566,7,1.1944444,5.16,0.23,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 04:16:00.000,1883c8bd-95d6-4916-81dd-7dc541365173,
19560,4,6,36,2025-09-14 04:16:00.000,,,2025-09-14 04:22:25.597,2025-09-14 04:22:25.597,42,1.7499999,34.23,1.51,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 04:17:00.000,debb0b7d-c2c4-4e4c-8b64-cb6e8079cb96,
7491,4,0,12,2025-09-14 04:18:00.000,,,2025-09-14 04:22:25.632,2025-09-14 04:22:25.632,12,1.1666666,8.74,0.38,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 04:19:00.000,87cbe647-6634-4ddd-a953-55d6c180c301,
16020,4,0,27,2025-09-14 04:19:00.000,,,2025-09-14 04:22:25.663,2025-09-14 04:22:25.663,27,1.2777778,20.47,0.83,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 04:20:00.000,5607687d-37f6-4cc5-abc1-8a2c9e8d2f8c,
18667,4,0,20,2025-09-14 04:20:00.000,,,2025-09-14 04:22:25.686,2025-09-14 04:22:25.686,20,1.5277778,28.52,1.62,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 04:21:00.000,b54dab6f-7e56-4d46-9eaa-a950709ebb9b,
42181,4,0,77,2025-09-14 04:22:00.000,,,2025-09-14 04:35:01.556,2025-09-14 04:22:25.787,77,1.3913571,58.690002,2.3399997,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 04:23:00.000,9e5c5d0e-7348-496c-8f84-2b194fa8e565,
8225,4,0,14,2025-09-14 04:23:00.000,,,2025-09-14 04:35:01.572,2025-09-14 04:35:01.572,14,1.2777778,10.51,0.42,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 04:24:00.000,a9bd4d66-c55e-4e77-9118-291fb8d30975,
40269,4,0,74,2025-09-14 04:32:00.000,,,2025-09-14 04:35:01.585,2025-09-14 04:35:01.585,74,1.3888888,55.93,2.27,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 04:33:00.000,a8051b74-d827-495a-8bd5-f979633adea1,
15128,4,0,25,2025-09-14 08:24:00.000,,,2025-09-14 08:27:50.279,2025-09-14 08:27:50.279,25,1.25,18.91,0.79,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 08:25:00.000,24a1de5b-8ede-4f62-9452-303781fd13e1,
16074,4,0,23,2025-09-14 10:16:00.000,,,2025-09-14 10:16:59.467,2025-09-14 10:16:40.903,23,1.0370141,16.67,0.6599999,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 10:17:00.000,5cd6d2fe-39e9-4d5c-9131-7557f4aa54b9,
13153,4,0,17,2025-09-14 10:17:00.000,,,2025-09-14 10:17:15.611,2025-09-14 10:17:00.960,17,0.9092808,11.959999,0.53999996,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 10:18:00.000,2cf524df-c5f7-4773-99f7-cfda7dbf2533,
