com.samsung.shealth.stand_day_summary,6305105,2
create_sh_ver,stand_time,modify_sh_ver,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
,8388608,,2020-05-03 04:49:49.210,2020-05-02 05:00:07.333,BfdGMJKwGJ,com.sec.android.app.shealth,05eee27f-bf7c-efdb-c84b-620b0c3ebd85,1588377600000,
,21508,,2020-05-03 20:06:46.194,2020-05-03 05:00:24.524,BfdGMJKwGJ,com.sec.android.app.shealth,f83c5e13-9c38-cf49-f940-b0afd2b65e5b,1588464000000,
,2129920,,2020-05-05 04:55:57.280,2020-05-04 06:00:11.513,BfdGMJKwGJ,com.sec.android.app.shealth,e4af7081-d090-5038-5973-41d0f6b9446d,1588550400000,
,7374848,,2020-05-06 04:51:44.210,2020-05-05 07:00:07.803,BfdGMJKwGJ,com.sec.android.app.shealth,b2cb8076-2b75-c24b-e486-dc28a0ee9b2b,1588636800000,
,4492834,,2020-05-07 03:12:37.277,2020-05-06 06:00:07.618,BfdGMJKwGJ,com.sec.android.app.shealth,16e2361d-5c6a-4e68-86da-5dfbc5494092,1588723200000,
,12671189,,2020-05-08 03:53:06.643,2020-05-07 05:00:11.293,BfdGMJKwGJ,com.sec.android.app.shealth,6f165f89-4a2c-8df3-5028-35c2604ba1cb,1588809600000,
,6820868,,2020-05-09 02:37:36.241,2020-05-08 04:00:12.384,BfdGMJKwGJ,com.sec.android.app.shealth,c8d67bf4-ea23-f3ee-a405-735241f16bdf,1588896000000,
,8400896,,2020-05-10 03:37:10.200,2020-05-09 04:00:05.701,BfdGMJKwGJ,com.sec.android.app.shealth,0440a1e0-fc86-2ce4-b22a-f0efbcd07328,1588982400000,
,327680,,2020-05-11 03:30:12.379,2020-05-10 04:00:03.724,BfdGMJKwGJ,com.sec.android.app.shealth,d4da9d06-4837-7e40-b6d6-f723714f0a2d,1589068800000,
,131073,,2020-05-11 21:45:47.286,2020-05-11 04:00:07.519,BfdGMJKwGJ,com.sec.android.app.shealth,33c55a24-7dff-94da-cd35-fd1144c4dbfe,1589155200000,
,98306,,2020-05-12 20:49:24.263,2020-05-12 04:00:07.698,BfdGMJKwGJ,com.sec.android.app.shealth,af4e213a-76b5-cccb-705f-fe8d8e86dff7,1589241600000,
,737280,,2020-05-13 23:26:09.265,2020-05-13 04:00:06.397,BfdGMJKwGJ,com.sec.android.app.shealth,fa3a876b-0440-06bd-a208-14a6cd25dc4a,1589328000000,
,8538369,,2020-05-15 04:25:40.422,2020-05-14 04:00:04.203,BfdGMJKwGJ,com.sec.android.app.shealth,ae8ff59f-9a45-b7fe-5662-a20d24f2d441,1589414400000,
,8426304,,2020-05-16 03:30:08.252,2020-05-15 05:00:04.892,BfdGMJKwGJ,com.sec.android.app.shealth,2187e1d1-1dc0-1981-9eed-a44a333a508f,1589500800000,
