com.samsung.health.floors_climbed,6305105,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2020-04-23 14:14:20.367,,2020-04-23 14:14:54.405,2020-04-23 14:14:54.374,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-23 14:14:33.373,f61f1301-c8e9-53ff-9ae1-99191a12e83f,
2020-04-23 16:20:14.548,,2020-04-23 16:33:22.708,2020-04-23 16:33:22.557,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-23 16:20:21.551,9d643923-4c3f-ef0b-616b-d8768a964ba3,
2020-04-23 16:55:57.492,,2020-04-23 17:15:26.587,2020-04-23 16:56:54.497,,,2.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-23 16:57:03.519,ba6bd40e-d66d-4817-c2a8-4208e4280e29,
2020-04-23 18:12:26.061,,2020-04-23 18:12:44.163,2020-04-23 18:12:35.085,,,2.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-23 18:12:42.093,67b29887-a475-37ab-22ba-3c2430937a98,
2020-04-23 18:15:07.317,,2020-04-23 18:15:28.342,2020-04-23 18:15:28.323,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-23 18:15:17.323,0ea4a0dc-5a1a-1bf9-cfe9-fdb58c07ba16,
2020-04-23 19:14:27.365,,2020-04-23 19:14:46.412,2020-04-23 19:14:46.382,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-23 19:14:43.368,8ce4908c-bad0-ec65-2ebc-a8d25a346dee,
2020-04-23 22:41:49.930,,2020-04-23 22:42:00.123,2020-04-23 22:41:58.965,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-23 22:41:59.092,4532563f-73b4-952e-bbc8-ae336b72f9c1,
2020-04-25 17:37:48.523,,2020-04-25 17:38:10.554,2020-04-25 17:38:10.526,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-25 17:37:58.525,86d484d2-5d08-1b94-132c-f05d29608d34,
2020-04-25 18:12:40.898,,2020-04-25 18:19:51.683,2020-04-25 18:19:51.403,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-25 18:12:49.196,f0442ddd-7b6f-85c5-81c6-caac1f735ddb,
2020-04-25 18:20:26.346,,2020-04-25 18:21:48.376,2020-04-25 18:21:48.363,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-25 18:20:36.348,2dec7ffa-d3cc-8499-6206-f0cfaa1e4d74,
2020-04-25 19:06:17.500,,2020-04-25 19:10:59.550,2020-04-25 19:10:59.515,,,2.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-25 19:06:31.508,6d96d17c-9a64-5c79-7fd7-e67085b9ec10,
2020-04-25 19:22:28.549,,2020-04-25 19:22:55.689,2020-04-25 19:22:55.561,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-25 19:22:36.556,5a44f20a-4d11-6cc9-1cba-2723afd47d66,
2020-04-25 19:30:02.346,,2020-04-25 19:34:22.392,2020-04-25 19:34:22.391,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-25 19:30:07.346,77a4fa38-8fee-9180-2c43-a4d263e1f707,
2020-04-25 19:32:27.382,,2020-04-25 19:34:22.483,2020-04-25 19:34:22.410,,,3.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-25 19:33:12.387,0e5f830d-8bfb-8435-1c3a-f18d49aea9d5,
2020-04-25 21:48:24.475,,2020-04-25 21:50:51.643,2020-04-25 21:50:51.562,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-25 21:48:30.556,aa3b646e-ea79-929e-8d1f-12e7b53df1bb,
2020-04-25 21:57:30.504,,2020-04-25 21:58:02.542,2020-04-25 21:58:02.521,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-25 21:57:45.506,ffc4c416-ff27-8ea2-a055-7436998db9b9,
2020-04-25 23:44:17.299,,2020-04-25 23:44:30.388,2020-04-25 23:44:30.348,,,1.0,,UTC-0600,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-25 23:44:27.305,9a7a489c-dbb2-e7c6-15ca-362660ecee39,
2020-04-26 20:09:58.905,,2020-04-26 20:10:14.988,2020-04-26 20:10:10.909,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-26 20:10:08.920,5a41b35d-09cb-0143-ccf7-1c5dddf3344d,
2020-04-26 21:36:22.524,,2020-04-26 21:38:17.154,2020-04-26 21:38:17.106,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-26 21:36:35.966,ed1c6bba-82eb-87f1-9682-fa79c5878efd,
2020-04-26 21:38:23.258,,2020-04-26 21:38:58.297,2020-04-26 21:38:58.283,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-26 21:38:41.265,5d652639-8807-1524-6f03-fd556bd308e7,
2020-04-26 21:40:20.976,,2020-04-26 21:40:34.984,2020-04-26 21:40:34.984,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-26 21:40:31.976,d7d332b3-0a43-ea5d-ae0f-816510488c49,
2020-04-26 22:16:54.234,,2020-04-26 22:20:36.370,2020-04-26 22:20:36.304,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-26 22:17:08.236,88fd27ae-04a0-5b8c-696d-c8e64cf681dd,
2020-04-28 18:01:09.824,,2020-04-28 18:06:12.284,2020-04-28 18:06:12.255,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-28 18:01:22.826,d5f2e005-3253-a0aa-7189-525ce872994c,
2020-04-28 21:30:05.326,,2020-04-28 21:30:51.281,2020-04-28 21:30:22.337,,,3.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-28 21:30:47.213,1dfd1c63-7d2b-5f0f-0073-731e0bd860c4,
2020-04-29 10:32:56.888,,2020-04-29 10:33:11.928,2020-04-29 10:33:11.893,,,1.0,,UTC-0600,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-29 10:33:09.890,ae803174-63b5-267f-e9f1-ae58d01bbf14,
2020-04-29 11:20:08.681,,2020-04-29 11:32:18.785,2020-04-29 11:32:18.702,,,1.0,,UTC-0600,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-29 11:20:18.684,485177e5-4453-bb33-f915-7f1c597b3d4e,
2020-04-29 16:22:50.400,,2020-04-29 16:23:11.433,2020-04-29 16:23:11.406,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-29 16:22:58.402,9dcce826-8638-3074-d444-1fac21fea00c,
2020-04-29 18:28:39.433,,2020-04-29 18:36:49.475,2020-04-29 18:36:49.457,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-29 18:28:52.434,15a903e0-cb1a-4c21-16da-0d4b7e235c18,
2020-04-29 18:36:51.240,,2020-04-29 18:37:00.854,2020-04-29 18:36:59.261,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-29 18:36:59.820,440746d2-b414-1ca3-ed68-e4daf77e15ac,
2020-04-30 16:01:48.398,,2020-04-30 16:02:09.476,2020-04-30 16:02:09.430,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-30 16:01:58.400,be8f3361-f3f7-3e30-c3c5-e16bdedd5ec5,
2020-04-30 17:20:58.328,,2020-04-30 17:27:59.331,2020-04-30 17:27:59.330,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-04-30 17:21:03.328,bba23b43-4d33-fc08-04d7-28e5e4cd6b9b,
2020-05-01 12:22:22.055,,2020-05-01 12:30:29.375,2020-05-01 12:30:29.321,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-05-01 12:22:35.057,53ff2eb4-27d6-2513-8995-e0381c697208,
