com.samsung.shealth.sleep,6305105,11
total_sleep_time_weight,original_efficiency,mental_recovery,wake_score,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,deep_score,integrated_id,latency_weight,has_sleep_data,bedtime_detection_delay,sleep_efficiency_with_latency,wakeup_time_detection_delay,total_rem_duration,combined_id,nap_score,sleep_type,sleep_latency,data_version,latency_score,deep_weight,rem_weight,physical_recovery,original_wake_up_time,movement_awakening,is_integrated,original_bed_time,goal_bed_time,quality,extra_data,wake_weight,rem_score,goal_wake_up_time,sleep_cycle,total_light_duration,efficiency,sleep_score,sleep_duration,stage_analyzed_type,total_sleep_time_score,com.samsung.health.sleep.create_sh_ver,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.modify_sh_ver,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.client_data_id,com.samsung.health.sleep.client_data_ver,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,06a3afbd-b967-9931-a32a-e737b7846f05.extra_data.json,,,,,,87.0,,,,,,2019-11-02 08:53:00.000,,,2019-11-02 17:37:04.205,2019-11-02 17:37:04.205,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-11-02 17:37:00.000,06a3afbd-b967-9931-a32a-e737b7846f05,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,b9bf5981-a52f-bab8-a5b5-f4dd4d18e70f.extra_data.json,,,,,,62.0,,,,,,2019-11-04 12:50:00.000,,,2019-11-04 13:22:18.298,2019-11-04 13:22:18.298,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-11-04 13:19:00.000,b9bf5981-a52f-bab8-a5b5-f4dd4d18e70f,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,5db85923-82ff-5fc6-7e66-bb681bda9fd9.extra_data.json,,,,,,89.0,,,,,,2019-11-04 15:04:00.000,,,2019-11-04 18:21:49.464,2019-11-04 18:21:49.464,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-11-04 18:17:00.000,5db85923-82ff-5fc6-7e66-bb681bda9fd9,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,213693ce-a42c-3281-b081-7e6f3ab4fd1e.extra_data.json,,,,,,76.0,,,,,,2019-10-14 12:25:00.000,,,2019-10-14 18:02:59.450,2019-10-14 18:02:59.450,,,UTC-0400,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-14 17:49:00.000,213693ce-a42c-3281-b081-7e6f3ab4fd1e,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,e4d72dd3-41fe-67d9-f0ca-8db5b89ece31.extra_data.json,,,,,,81.0,,,,,,2019-10-17 00:27:00.000,,,2019-10-17 05:36:06.342,2019-10-17 05:36:06.342,,,UTC-0500,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-17 05:35:00.000,e4d72dd3-41fe-67d9-f0ca-8db5b89ece31,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,cc6cdf99-4076-3e29-e10f-9c6fcc1afe5b.extra_data.json,,,,,,84.0,,,,,,2019-10-21 05:00:00.000,,,2019-10-21 13:09:47.375,2019-10-21 13:09:47.375,,,UTC-0500,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-21 13:02:00.000,cc6cdf99-4076-3e29-e10f-9c6fcc1afe5b,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,ad162c56-dd14-0cde-079f-910e3d5d3a2b.extra_data.json,,,,,,74.0,,,,,,2019-11-04 08:35:00.000,,,2019-11-04 09:50:24.784,2019-11-04 09:50:24.784,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-11-04 09:46:00.000,ad162c56-dd14-0cde-079f-910e3d5d3a2b,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,ae17df7e-ab89-342c-36ec-d42b0cb1bf15.extra_data.json,,,,,,69.0,,,,,,2019-11-03 05:47:00.000,,,2019-11-03 07:48:43.297,2019-11-03 07:48:43.297,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-11-03 07:45:00.000,ae17df7e-ab89-342c-36ec-d42b0cb1bf15,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,904d7d18-1a42-6124-8768-4eb8c3ffc727.extra_data.json,,,,,,80.0,,,,,,2019-10-29 10:12:00.000,,,2019-10-29 15:49:14.370,2019-10-29 15:49:14.370,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-29 15:38:00.000,904d7d18-1a42-6124-8768-4eb8c3ffc727,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,d3d12ec0-dbe8-b7ba-721f-294408004233.extra_data.json,,,,,,68.0,,,,,,2019-10-25 14:26:00.000,,,2019-10-25 16:01:11.684,2019-10-25 16:01:11.684,,,UTC-0500,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-25 15:59:00.000,d3d12ec0-dbe8-b7ba-721f-294408004233,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,a9b4cd85-d570-b1e9-c2e4-c327f7c0a6ae.extra_data.json,,,,,,80.0,,,,,,2019-11-04 10:29:00.000,,,2019-11-04 12:49:08.350,2019-11-04 12:49:08.350,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-11-04 12:44:00.000,a9b4cd85-d570-b1e9-c2e4-c327f7c0a6ae,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,8ae22366-c414-ae11-cc1d-2c53f26a990b.extra_data.json,,,,,,76.0,,,,,,2019-10-16 12:57:00.000,,,2019-10-16 18:12:00.453,2019-10-16 18:12:00.453,,,UTC-0500,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-16 18:08:00.000,8ae22366-c414-ae11-cc1d-2c53f26a990b,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,d2cbe8cf-ec22-6c38-b598-ae5ade8bf2ca.extra_data.json,,,,,,86.0,,,,,,2019-11-05 13:35:00.000,,,2019-11-05 16:51:02.241,2019-11-05 16:51:02.241,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-11-05 16:50:00.000,d2cbe8cf-ec22-6c38-b598-ae5ade8bf2ca,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,f02c35c1-4634-c583-a814-379a3e6da12a.extra_data.json,,,,,,55.0,,,,,,2019-11-06 06:13:00.000,,,2019-11-06 10:04:06.335,2019-11-06 10:04:06.335,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-11-06 09:45:00.000,f02c35c1-4634-c583-a814-379a3e6da12a,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,82c31b4b-3c69-ee02-f65e-8b62ef59bb84.extra_data.json,,,,,,86.0,,,,,,2020-03-03 22:01:00.000,,,2020-03-04 05:01:00.412,2020-03-04 05:01:00.412,,,UTC-0800,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-03-04 04:48:00.000,82c31b4b-3c69-ee02-f65e-8b62ef59bb84,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,f4d26449-ae88-066e-2607-d2bd4848006b.extra_data.json,,,,,,83.0,,,,,,2020-03-30 06:02:00.000,,,2020-03-30 07:51:03.465,2020-03-30 07:51:03.465,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-03-30 07:49:00.000,f4d26449-ae88-066e-2607-d2bd4848006b,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,5ba38545-7fd5-d780-4303-daa123c22b61.extra_data.json,,,,,,90.0,,,,,,2020-04-01 12:31:00.000,,,2020-04-01 17:47:14.533,2020-04-01 17:47:14.533,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-04-01 17:40:00.000,5ba38545-7fd5-d780-4303-daa123c22b61,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,ca48bdd4-dcb9-b2a8-b75e-3f40604df3f8.extra_data.json,,,,,,100.0,,,,,,2020-04-02 09:06:00.000,,,2020-04-02 11:59:25.328,2020-04-02 11:59:25.328,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-04-02 10:58:00.000,ca48bdd4-dcb9-b2a8-b75e-3f40604df3f8,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,439555d0-4d41-bab6-367b-3a1ea2b81bbe.extra_data.json,,,,,,87.0,,,,,,2020-04-09 05:30:00.000,,,2020-04-09 12:27:55.369,2020-04-09 12:27:55.369,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-04-09 12:20:00.000,439555d0-4d41-bab6-367b-3a1ea2b81bbe,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,67191d94-2833-6482-4bd0-9fac3931d426.extra_data.json,,,,,,92.0,,,,,,2020-04-12 13:09:00.000,,,2020-04-12 19:50:37.393,2020-04-12 19:50:37.393,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-04-12 19:44:00.000,67191d94-2833-6482-4bd0-9fac3931d426,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,ba8f6a03-2cb2-5352-e62c-9016d4df884e.extra_data.json,,,,,,78.0,,,,,,2020-04-17 23:26:00.000,,,2020-04-18 03:22:35.735,2020-04-18 03:22:35.735,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-04-18 03:16:00.000,ba8f6a03-2cb2-5352-e62c-9016d4df884e,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,21237ad0-d098-e6af-170f-d7833fd3091f.extra_data.json,,,,,,82.0,,,,,,2020-04-18 22:55:00.000,,,2020-04-19 02:28:37.339,2020-04-19 02:28:37.339,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-04-19 02:12:00.000,21237ad0-d098-e6af-170f-d7833fd3091f,
