com.samsung.shealth.rewards,6305105,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2020-04-04 21:15:31.618,,,,2020-04-06 18:49:39.885,2020-04-04 21:15:31.640,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":true,""mValue"":147,""mValue2"":60}",jBfEgmLJSx,com.sec.android.app.shealth,goal.activity,2020-04-04 21:15:31.618,6a51592a-0597-4b0b-af95-7be265937dcb,0,
,2020-04-04 05:00:00.000,,1899999,,2020-05-02 02:58:42.454,2020-04-04 21:44:44.183,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":12448}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-04-04 05:00:00.000,5825feeb-1205-4bf5-a44a-5bb7298bad50,1,
,2020-04-04 07:00:00.000,,10009,,2020-04-10 07:00:02.062,2020-04-05 01:19:10.156,,,tracker_pedometer_reward_target_achieved,UTC-0700,"{""mTarget"":6000,""mValue"":6930}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-04-04 07:00:00.000,6259334b-8050-44ff-8552-8e020871bbe0,1,
,2020-04-07 01:13:31.282,,,,2020-04-14 00:55:07.971,2020-04-07 01:13:31.330,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":false,""mValue"":92,""mValue2"":60}",jBfEgmLJSx,com.sec.android.app.shealth,goal.activity,2020-04-07 01:13:31.282,0c255942-00e5-413a-babb-a97b4a4a6003,0,
,2020-04-06 06:00:00.000,,1899999,,2020-05-03 22:24:25.392,2020-04-07 06:15:05.084,,,tracker_pedometer_reward_target_achieved,UTC-0600,"{""mTarget"":6000,""mValue"":6646}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-04-06 06:00:00.000,a2110339-fada-4af9-aec6-8e04e18146a0,1,
,2020-04-14 00:55:07.953,,,,2020-04-14 08:15:05.771,2020-04-14 00:55:07.973,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":true,""mValue"":71,""mValue2"":60}",jBfEgmLJSx,com.sec.android.app.shealth,goal.activity,2020-04-14 00:55:07.953,94c34758-867c-4ba4-97ed-8418cb05824e,0,
,2020-04-14 22:53:56.367,,,,2020-04-16 23:56:43.336,2020-04-14 22:53:56.400,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":true,""mValue"":102,""mValue2"":60}",jBfEgmLJSx,com.sec.android.app.shealth,goal.activity,2020-04-14 22:53:56.367,68206b49-9481-473d-bd06-b47be7f54656,0,
,2020-04-14 04:00:00.000,,1899999,,2020-05-11 04:52:48.029,2020-04-14 23:55:05.271,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8735}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-04-14 04:00:00.000,d16fca33-2ec8-4d94-9024-84e5b08c2b49,1,
,2020-04-14 05:00:00.000,,10009,,2020-04-20 05:00:01.306,2020-04-15 04:15:06.993,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6087}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-04-14 05:00:00.000,a2e6f621-9fe6-4e51-96a8-b7cd1f44fab2,1,
,2020-04-16 23:56:27.785,,,,2020-04-25 20:21:07.453,2020-04-16 23:56:43.344,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":false,""mValue"":93,""mValue2"":60}",jBfEgmLJSx,com.sec.android.app.shealth,goal.activity,2020-04-16 23:56:27.785,46328ee6-1537-4c9f-ab10-4aa13f25fa82,0,
,2020-04-16 04:00:00.000,,1899999,,2020-05-14 02:35:13.962,2020-04-17 00:49:31.810,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":7685}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-04-16 04:00:00.000,d2a7f982-61f4-4444-94d9-da29636a1191,1,
,2020-04-16 05:00:00.000,,10009,,2020-04-22 05:00:02.571,2020-04-17 06:15:06.893,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6028}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-04-16 05:00:00.000,394caeb4-ddd9-46dc-80d6-09f7386eef44,1,
,2020-04-23 05:00:00.000,,,,2020-04-23 19:22:16.700,2020-04-23 19:22:16.700,,,tracker_floor_reward_target_achieved,UTC-0500,"{""mTarget"":10,""mValue"":14.0}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.floor,2020-04-23 05:00:00.000,67d89954-7416-41ab-9daa-9bc8b0e868c8,1,
,2020-04-25 20:21:07.425,,,,2020-04-26 23:29:30.630,2020-04-25 20:21:07.459,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":true,""mValue"":90,""mValue2"":60}",jBfEgmLJSx,com.sec.android.app.shealth,goal.activity,2020-04-25 20:21:07.425,3bb6ac73-2f41-4f7e-8dae-e0e235d0ff95,0,
,2020-04-25 05:00:00.000,,1899999,,2020-05-21 18:54:28.761,2020-04-25 21:31:10.288,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":8108}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-04-25 05:00:00.000,5cb5f6f9-2be7-4dff-a78b-982fd174ba87,1,
,2020-04-26 23:29:30.598,,,,2020-05-01 22:38:01.140,2020-04-26 23:29:30.648,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":true,""mValue"":76,""mValue2"":60}",jBfEgmLJSx,com.sec.android.app.shealth,goal.activity,2020-04-26 23:29:30.598,066ac97f-e629-47c5-9a8c-17bfd4851269,0,
,2020-05-01 22:38:01.128,,,,2020-05-02 21:26:59.147,2020-05-01 22:38:01.142,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":71,""mValue2"":60}",jBfEgmLJSx,com.sec.android.app.shealth,goal.activity,2020-05-01 22:38:01.128,f9a686a8-9fbd-4453-8292-58378b71daac,0,
,2020-05-02 21:26:59.132,,,,2020-05-06 21:04:07.303,2020-05-02 21:26:59.154,,,goal_activity_reward_goal_achieved,UTC-0600,"{""mIsCompleted"":true,""mValue"":95,""mValue2"":60}",jBfEgmLJSx,com.sec.android.app.shealth,goal.activity,2020-05-02 21:26:59.132,6f923d7e-c676-484d-a7bf-206c2b7bc54c,0,
