com.samsung.shealth.activity.goal,6305105,1
update_time,create_time,value,time_offset,deviceuuid,pkg_name,set_time,datauuid
2020-05-30 20:53:30.242,2020-05-30 20:53:30.242,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590872010234,890b19c3-0062-4aeb-bfae-cb975617ab98,
2020-05-30 20:54:02.940,2020-05-30 20:54:02.940,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1590872042934,108ebb95-ecd4-4f57-9e9c-d5d50ad29e13,
2020-05-30 20:54:48.676,2020-05-30 20:54:48.676,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1590872088666,27d7ceba-cd72-4440-ad77-a5357958958d,
2020-05-31 05:53:09.629,2020-05-31 05:53:09.629,60,UTC-0700,jBfEgmLJSx,com.sec.android.app.shealth,1590904389623,871a7db1-4105-4539-ad55-7dfaedf21974,
2020-06-02 23:24:23.647,2020-06-02 23:24:23.647,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1591140263635,4941ec35-b555-4677-bdb0-491337749154,
2020-06-03 16:13:57.976,2020-06-03 16:13:57.976,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1591200837967,30ede13d-00fa-482a-bc15-79296a945066,
2020-06-04 07:06:21.575,2020-06-04 07:06:21.575,60,UTC-0400,jBfEgmLJSx,com.sec.android.app.shealth,1591254381572,00593d53-991d-4ea0-9ac5-a513331ba63d,
2020-06-04 07:06:52.071,2020-06-04 07:06:52.071,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1591254412069,c2e46abe-a90d-4432-9241-71ca723db109,
2020-06-04 07:07:13.121,2020-06-04 07:07:13.121,60,UTC-0400,jBfEgmLJSx,com.sec.android.app.shealth,1591254433120,818f20cf-a67f-4b5a-bbc8-6a774af00e5f,
2020-06-04 07:07:17.767,2020-06-04 07:07:17.767,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1591254437767,29c2f077-aacc-4d7a-b254-79fea3911db5,
2020-06-04 07:13:31.707,2020-06-04 07:13:31.707,60,UTC-0400,jBfEgmLJSx,com.sec.android.app.shealth,1591254811705,96e0a866-e549-4695-804e-e018b95235f9,
2020-06-04 07:13:44.708,2020-06-04 07:13:44.708,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1591254824708,f0e76564-315b-47f2-a4ef-da642e1028df,
2020-06-04 07:14:01.097,2020-06-04 07:14:01.097,60,UTC-0400,jBfEgmLJSx,com.sec.android.app.shealth,1591254841096,e8432ed4-a5a0-4fc6-8673-07f93c1d175e,
2020-06-06 15:07:48.076,2020-06-06 15:07:48.076,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1591456068070,1c08d588-2f70-4332-ac8c-029970d452ae,
2020-06-09 09:34:00.496,2020-06-09 09:34:00.496,60,UTC-0400,jBfEgmLJSx,com.sec.android.app.shealth,1591695240487,d8900f4e-7611-4075-b831-c099205e50d1,
2020-06-10 22:55:43.870,2020-06-10 22:55:43.870,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1591829743866,9bd4025c-3bda-4278-b497-8f6890208d02,
2020-06-10 22:56:05.259,2020-06-10 22:56:05.259,60,UTC-0400,jBfEgmLJSx,com.sec.android.app.shealth,1591829765258,b939ccff-3cef-4740-978b-aa0afdd5f88f,
2020-06-10 23:04:53.485,2020-06-10 23:04:53.485,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1591830293484,0eabaaff-a69d-45c7-980b-b3c8afe9ea9c,
2020-06-11 12:45:27.779,2020-06-11 12:45:27.779,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1591879527770,4c03e6ed-1759-4820-9c8a-e6dc44597dcf,
2020-06-13 03:13:30.818,2020-06-13 03:13:30.818,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1592018010814,eaad01cb-dffc-4360-bce8-ad4883ad11f9,
